id,type,fiscal_years,question,golden_answer,golden_citation,notes
L1,lookup,2024,What was Apple's total net sales in FY2024?,"$391,035 million",FY2024 10-K · Item 8 (Financial Statements),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
L2,lookup,2024,What was Apple's Services revenue in FY2024?,"$96,169 million",FY2024 10-K · Item 8 (Financial Statements),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
L3,lookup,2024,What was Apple's net income in FY2024?,"$93,736 million",FY2024 10-K · Item 8 (Financial Statements),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
L4,lookup,2024,What was Apple's research and development expense in FY2024?,"$31,370 million",FY2024 10-K · Item 8 (Financial Statements),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
L5,lookup,2024,What was Apple's diluted earnings per share in FY2024?,$6.08,FY2024 10-K · Item 8 (Financial Statements),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
L6,lookup,2023,What were Apple's Products net sales in FY2023?,"$298,085 million",FY2023 10-K · Item 8 (Financial Statements),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
L7,lookup,2024,What were Apple's total assets at the end of FY2024?,"$364,980 million",FY2024 10-K · Item 8 (Financial Statements),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
L8,lookup,2024,How many full-time equivalent employees did Apple report in FY2024?,"Approximately 164,000",FY2024 10-K · Item 1 (Business),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
T1,table,"2023,2024",What was Apple's total net sales in FY2023 versus FY2024?,"FY2023: $383,285 million; FY2024: $391,035 million",FY2024 10-K · Item 8 (Financial Statements),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
T2,table,2024,"In FY2024, what were Products revenue and Services revenue?","Products: $294,866 million; Services: $96,169 million",FY2024 10-K · Item 8 (Financial Statements),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
T3,table,2024,What was Apple's gross margin in FY2024?,"$180,683 million",FY2024 10-K · Item 8 (Financial Statements),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
T4,table,2024,What was Apple's total cost of sales in FY2024?,"$210,352 million",FY2024 10-K · Item 8 (Financial Statements),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
T5,table,"2023,2024",What were cash and cash equivalents at the end of FY2023 and FY2024?,"FY2023: $29,965 million; FY2024: $29,943 million",FY2024 10-K · Item 8 (Financial Statements),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
C1,comparison,"2023,2024",How did Apple's total net sales change from FY2023 to FY2024?,"Increased about 2% (from $383,285M to $391,035M)",FY2024 10-K · Item 7 (MD&A),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
C2,comparison,"2023,2024",How did Services revenue change from FY2023 to FY2024?,"Increased (from $85,200M to $96,169M, ~13%)",FY2024 10-K · Item 7 (MD&A),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
C3,comparison,"2023,2024",How did Apple's research and development expense change from FY2023 to FY2024?,"Increased (from $29,915M to $31,370M)",FY2024 10-K · Item 7 (MD&A),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
C4,comparison,"2023,2024",How did the risk factors change between FY2023 and FY2024?,Qualitative: themes largely consistent; confirm wording/additions against Item 1A of both filings,FY2024 10-K · Item 1A (Risk Factors),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
C5,comparison,"2023,2024",How did Apple's Americas segment net sales change from FY2023 to FY2024?,Confirm against segment table in MD&A,FY2024 10-K · Item 7 (MD&A),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
S1,synthesis,2024,Summarize what management said about supply chain and manufacturing in the most recent filing.,Synthesis: substantially all manufacturing performed by outsourcing partners primarily in Asia; component and supplier concentration risks,FY2024 10-K · Item 1A (Risk Factors),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
S2,synthesis,2024,Summarize the main themes of Apple's risk factors in the most recent filing.,"Synthesis: macroeconomic conditions, intense competition, supply/manufacturing concentration, legal/regulatory, cybersecurity/privacy",FY2024 10-K · Item 1A (Risk Factors),DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json
X1,trap,2019,What was Apple's total net sales in FY2019?,(refusal expected) FY2019 is outside the ingested range,,DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json | trap: year outside ingested range
X2,trap,,What was Microsoft's Intelligent Cloud revenue in FY2024?,(refusal expected) other company,,DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json | trap: other company
X3,trap,,What was Amazon's AWS operating income in FY2024?,(refusal expected) other company,,DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json | trap: other company
X4,trap,2024,How many iPhone units did Apple sell in FY2024?,(refusal expected) Apple does not disclose unit sales,,DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json | trap: topic absent from 10-K
X5,trap,2024,What was Apple's global smartphone market share in FY2024?,(refusal expected) not disclosed in the 10-K,,DRAFT/UNVERIFIED - confirm against the actual filing; adjust years to match filings_meta.json | trap: topic absent from 10-K
